sg nom,sg gen,sg part,sg ill,pl nom,pl gen,pl part,pl ill,pl ine,kommentaar
tečejä,tečejä,tečejä,tečejäse,tečejed,tečejije,tečejiit,tečejiise,tečejiiz,
tee,tee,teete,tehese,teed,teije,teit,teise,teiz,
telefona,telefona,telefona,telefonasõ,telefonad,telefonojõ,telefonoit,telefonoisõ,telefonoiz,
televizora,televizora,televizora,televizorasõ,televizorad,televizorojõ,televizoroit,televizoroisõ,televizoroiz,
terve,terve,tervette,tervese,terved,tervije,terveit,terveise,terveiz,
tikkõ,tika,tikka,tikkasõ,tikõd,tikkojõ,tikkoit,tikkoisõ,tikkoiz,
tila,tila,tila,tilasõ,tilad,tilojõ,tiloit,tiloisõ,tiloiz,
toho,toho,toht,tohtosõ,tohod,tohtijõ,tohtiit,tohtiisõ,tohtiiz,
tormi,tormi,tormia,tormisõ,tormid,tormijõ,tormiit,tormiisõ,tormiiz,
touko,tougo,toukkoa,toukosõ,tougod,toukojõ,toukoit,toukoisõ,toukoiz,
trubačist,trubačista,trubačista,trubačistasõ,trubačistõd,trubačistijõ,trubačistiit,trubačistiisõ,trubačistiiz,
trubõ,truba,truba,trubasõ,trubad,trubojõ,truboit,truboisõ,truboiz,
tubakkõ,tubaka,tubakka,tubakkasõ,tubakõd,tubakkojõ,tubakkoit,tubakkoisõ,tubakkoiz,
tuhattõ,tuhatta,tuhatta,tuhattasõ,tuhatõd,tuhattojõ,tuhattoit,tuhattoisõ,tuhattoiz,
tuimõ,tuima,tuima,tuimasõ,tuimõd,tuimijõ,tuimiit,tuimiisõ,tuimiiz,
tuisku,tuizgu,tuiskua,tuiskusõ,tuizgud,tuiskujõ,tuiskuit,tuiskuisõ,tuiskuiz,
tuli,tulõ,tultõ,tulõsõ,tulõd,tulijõ,tuliit,tuliisõ,tuliiz,
tunni,tunni,tunnia,tunnisõ,tunnid,tunnijõ,tunniit,tunniisõ,tunniiz,
turvõz,turpa,turvassõ,turpasõ,turpad,turpajõ,turpait,turpaisõ,turpaiz,
